变量名称*,数据类型*,变量地址名称*,变量地址值*,传输方式*,读写方式*,单位,描述,分组*,精度,显示类型,显示格式,组码顺序,字符串长度,字符串编码,字符串大小端,,,,id
6号空压机运行频率,16位无符号整数,4x,954,变化上传,只读,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机累计运行时间,16位无符号整数,4x,955,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机累计加载时间,16位无符号整数,4x,956,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机空滤运行时间,16位无符号整数,4x,957,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机油滤运行时间,16位无符号整数,4x,958,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机油分芯运行时间,16位无符号整数,4x,959,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机润滑脂运行时间,16位无符号整数,4x,960,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机润滑油运行时间,16位无符号整数,4x,961,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机排气过温,BOOL,0x,200,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号空压机供气过压力,BOOL,0x,201,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号压力传感器断线,BOOL,0x,202,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号温度传感器断线,BOOL,0x,203,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号外部紧急停机,BOOL,0x,204,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号空滤堵塞,BOOL,0x,205,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号油滤堵塞,BOOL,0x,206,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号油气分离器堵塞,BOOL,0x,207,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号油精分堵塞,BOOL,0x,208,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号保养提醒时间到,BOOL,0x,209,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号主电机过电流,BOOL,0x,210,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号主电机电流缺相,BOOL,0x,211,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号主变频器通讯故障,BOOL,0x,212,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号风机过电流,BOOL,0x,213,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号风机缺相]风机缺相,BOOL,0x,214,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号主机变频器故障,BOOL,0x,215,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号风机变频器故障,BOOL,0x,216,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号空压机启动（联控取消有效）,BOOL,0x,360,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
6号空压机停机（联控取消有效）,BOOL,0x,361,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
6号空压机目标压力,16位无符号整数,4x,770,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机加载压力,16位无符号整数,4x,771,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机卸载压力,16位无符号整数,4x,772,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机目标温度,16位无符号整数,4x,773,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机启扇温度,16位无符号整数,4x,774,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机停扇温度,16位无符号整数,4x,775,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机上限频率,16位无符号整数,4x,776,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机下限频率,16位无符号整数,4x,777,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机机型,BOOL,0x,1105,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
6号机上限负载率%,16位无符号整数,4x,1015,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
6号机下限负载率%,16位无符号整数,4x,1025,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
6号机联控开关,BOOL,0x,1006,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
7号空压机运行状态,16位无符号整数,4x,970,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号空压机排气温度,16位无符号整数,4x,971,变化上传,只读,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机排气压力,16位无符号整数,4x,972,变化上传,只读,Mpa,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机运行电流,16位无符号整数,4x,973,变化上传,只读,A,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机运行频率,16位无符号整数,4x,974,变化上传,只读,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机累计运行时间,16位无符号整数,4x,975,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机累计加载时间,16位无符号整数,4x,976,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机空滤运行时间,16位无符号整数,4x,977,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机油滤运行时间,16位无符号整数,4x,978,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机油分芯运行时间,16位无符号整数,4x,979,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机润滑脂运行时间,16位无符号整数,4x,980,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机润滑油运行时间,16位无符号整数,4x,981,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机排气过温,BOOL,0x,220,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号空压机供气过压力,BOOL,0x,221,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号压力传感器断线,BOOL,0x,222,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号温度传感器断线,BOOL,0x,223,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号外部紧急停机,BOOL,0x,224,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号空滤堵塞,BOOL,0x,225,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号油滤堵塞,BOOL,0x,226,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号油气分离器堵塞,BOOL,0x,227,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号油精分堵塞,BOOL,0x,228,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号保养提醒时间到,BOOL,0x,229,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号主电机过电流,BOOL,0x,230,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号主电机电流缺相,BOOL,0x,231,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号主变频器通讯故障,BOOL,0x,232,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号风机过电流,BOOL,0x,233,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号风机缺相]风机缺相,BOOL,0x,234,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号主机变频器故障,BOOL,0x,235,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号风机变频器故障,BOOL,0x,236,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号空压机启动（联控取消有效）,BOOL,0x,370,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
7号空压机停机（联控取消有效）,BOOL,0x,371,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
7号空压机目标压力,16位无符号整数,4x,780,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机加载压力,16位无符号整数,4x,781,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机卸载压力,16位无符号整数,4x,782,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机目标温度,16位无符号整数,4x,783,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机启扇温度,16位无符号整数,4x,784,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机停扇温度,16位无符号整数,4x,785,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机上限频率,16位无符号整数,4x,786,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机下限频率,16位无符号整数,4x,787,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
7号空压机机型,BOOL,0x,1106,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
7号机上限负载率%,16位无符号整数,4x,1016,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
7号机下限负载率%,16位无符号整数,4x,1026,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
7号机联控开关,BOOL,0x,1007,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
8号空压机运行状态,16位无符号整数,4x,985,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号空压机排气温度,16位无符号整数,4x,986,变化上传,只读,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
8号空压机排气压力,16位无符号整数,4x,987,变化上传,只读,Mpa,,默认分组,,无(原始数据),,0-12,,,,,,,
8号空压机运行电流,16位无符号整数,4x,988,变化上传,只读,A,,默认分组,,无(原始数据),,0-12,,,,,,,
8号空压机运行频率,16位无符号整数,4x,989,变化上传,只读,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
8号空压机累计运行时间,16位无符号整数,4x,990,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
8号空压机累计加载时间,16位无符号整数,4x,991,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
8号空压机空滤运行时间,16位无符号整数,4x,992,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
8号空压机油滤运行时间,16位无符号整数,4x,993,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
8号空压机油分芯运行时间,16位无符号整数,4x,994,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
8号空压机润滑脂运行时间,16位无符号整数,4x,995,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
8号空压机润滑油运行时间,16位无符号整数,4x,996,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
8号空压机排气过温,BOOL,0x,240,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号空压机供气过压力,BOOL,0x,241,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号压力传感器断线,BOOL,0x,242,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号温度传感器断线,BOOL,0x,243,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号外部紧急停机,BOOL,0x,244,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号空滤堵塞,BOOL,0x,245,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号油滤堵塞,BOOL,0x,246,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号油气分离器堵塞,BOOL,0x,247,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号油精分堵塞,BOOL,0x,248,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号保养提醒时间到,BOOL,0x,249,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号主电机过电流,BOOL,0x,250,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号主电机电流缺相,BOOL,0x,251,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号主变频器通讯故障,BOOL,0x,252,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号风机过电流,BOOL,0x,253,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号风机缺相]风机缺相,BOOL,0x,254,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号主机变频器故障,BOOL,0x,255,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号风机变频器故障,BOOL,0x,256,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号空压机启动（联控取消有效）,BOOL,0x,380,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
8号空压机停机（联控取消有效）,BOOL,0x,381,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
8号空压机目标压力,16位无符号整数,4x,790,变化上传,读写,MPa,,默认分组,,无(原始数据),,,,,,,,,
8号空压机加载压力,16位无符号整数,4x,791,变化上传,读写,MPa,,默认分组,,无(原始数据),,,,,,,,,
8号空压机卸载压力,16位无符号整数,4x,792,变化上传,读写,MPa,,默认分组,,无(原始数据),,,,,,,,,
8号空压机目标温度,16位无符号整数,4x,793,变化上传,读写,℃,,默认分组,,无(原始数据),,,,,,,,,
8号空压机启扇温度,16位无符号整数,4x,794,变化上传,读写,℃,,默认分组,,无(原始数据),,,,,,,,,
8号空压机停扇温度,16位无符号整数,4x,795,变化上传,读写,℃,,默认分组,,无(原始数据),,,,,,,,,
8号空压机上限频率,16位无符号整数,4x,796,变化上传,读写,Hz,,默认分组,,无(原始数据),,,,,,,,,
8号空压机下限频率,16位无符号整数,4x,797,变化上传,读写,Hz,,默认分组,,无(原始数据),,,,,,,,,
8号机联控开关,BOOL,0x,1008,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
8号空压机机型,BOOL,0x,1107,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
8号机上限负载率%,16位无符号整数,4x,1017,变化上传,读写,%,,默认分组,,无(原始数据),,,,,,,,,
8号机下限负载率%,16位无符号整数,4x,1027,变化上传,读写,%,,默认分组,,无(原始数据),,,,,,,,,
1号冷干机运行状态,16位无符号整数,4x,700,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号冷干机运行状态,16位无符号整数,4x,701,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号冷干机运行状态,16位无符号整数,4x,702,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号冷干机运行状态,16位无符号整数,4x,703,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号冷干机运行状态,16位无符号整数,4x,704,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号冷干机运行状态,16位无符号整数,4x,705,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号冷干机运行状态,16位无符号整数,4x,706,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号冷干机运行状态,16位无符号整数,4x,707,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
1号吸干机运行状态,16位无符号整数,4x,710,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号吸干机运行状态,16位无符号整数,4x,711,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号吸干机运行状态,16位无符号整数,4x,712,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号吸干机运行状态,16位无符号整数,4x,713,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号吸干机运行状态,16位无符号整数,4x,714,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号吸干机运行状态,16位无符号整数,4x,715,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
7号吸干机运行状态,16位无符号整数,4x,716,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
8号吸干机运行状态,16位无符号整数,4x,717,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号空压机排气温度,16位无符号整数,4x,891,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
联控开关,BOOL,0x,1000,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
母管目标压力,16位无符号整数,4x,1000,变化上传,读写,Mpa,,默认分组,,无(原始数据),,0-12,,,,,,,
母管目标压力上限,16位无符号整数,4x,1001,变化上传,读写,Mpa,,默认分组,,无(原始数据),,0-12,,,,,,,
母管目标压力下限,16位无符号整数,4x,1002,变化上传,读写,Mpa,,默认分组,,无(原始数据),,0-12,,,,,,,
加机判断时间,16位无符号整数,4x,1003,变化上传,读写,S,,默认分组,,无(原始数据),,0-12,,,,,,,
减机判断时间,16位无符号整数,4x,1004,变化上传,读写,S,,默认分组,,无(原始数据),,0-12,,,,,,,
压力策略,BOOL,0x,1110,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
压力策略上限压力开关,BOOL,0x,1111,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
压力策略下限压力开关,BOOL,0x,1112,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
轮换策略,BOOL,0x,1113,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
轮换时间,16位无符号整数,4x,1028,变化上传,读写,H,,默认分组,,无(原始数据),,0-12,,,,,,,
故障主备切换,BOOL,0x,1114,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
启停保护策略,BOOL,0x,1115,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
启停保护次数,16位无符号整数,4x,1029,变化上传,读写,次,,默认分组,,无(原始数据),,0-12,,,,,,,
周运行计划日期_周一,BOOL,0x,1120,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
周运行计划日期_周二,BOOL,0x,1121,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
周运行计划日期_周三,BOOL,0x,1122,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
周运行计划日期_周四,BOOL,0x,1123,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
周运行计划日期_周五,BOOL,0x,1124,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
周运行计划日期_周六,BOOL,0x,1125,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
周运行计划日期_周日,BOOL,0x,1126,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
运行开启时间_时,16位无符号整数,4x,1030,变化上传,读写,H,,默认分组,,无(原始数据),,0-12,,,,,,,
运行开启时间_分,16位无符号整数,4x,1031,变化上传,读写,Min,,默认分组,,无(原始数据),,0-12,,,,,,,
运行关闭时间_时,16位无符号整数,4x,1032,变化上传,读写,H,,默认分组,,无(原始数据),,0-12,,,,,,,
运行关闭时间_分,16位无符号整数,4x,1033,变化上传,读写,Min,,默认分组,,无(原始数据),,0-12,,,,,,,
