变量名称*,数据类型*,变量地址名称*,变量地址值*,传输方式*,读写方式*,单位,描述,分组*,精度,显示类型,显示格式,组码顺序,字符串长度,字符串编码,字符串大小端,,,,id
1号空压机目标温度,16位无符号整数,4x,723,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
1号空压机启扇温度,16位无符号整数,4x,724,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
1号空压机停扇温度,16位无符号整数,4x,725,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
1号空压机上限频率,16位无符号整数,4x,726,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
1号空压机下限频率,16位无符号整数,4x,727,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
1号空压机机型,BOOL,0x,1100,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
1号机上限负载率%,16位无符号整数,4x,1010,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
1号机下限负载率%,16位无符号整数,4x,1020,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
1号机联控开关,BOOL,0x,1001,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
2号空压机运行状态,16位无符号整数,4x,870,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号空压机排气温度,16位无符号整数,4x,871,变化上传,只读,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机排气压力,16位无符号整数,4x,872,变化上传,只读,Mpa,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机运行电流,16位无符号整数,4x,873,变化上传,只读,A,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机运行频率,16位无符号整数,4x,874,变化上传,只读,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机累计运行时间,16位无符号整数,4x,875,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机累计加载时间,16位无符号整数,4x,876,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机空滤运行时间,16位无符号整数,4x,877,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机油滤运行时间,16位无符号整数,4x,878,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机油分芯运行时间,16位无符号整数,4x,879,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机润滑脂运行时间,16位无符号整数,4x,880,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机润滑油运行时间,16位无符号整数,4x,881,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机排气过温,BOOL,0x,120,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号空压机供气过压力,BOOL,0x,121,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号压力传感器断线,BOOL,0x,122,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号温度传感器断线,BOOL,0x,123,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号外部紧急停机,BOOL,0x,124,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号空滤堵塞,BOOL,0x,125,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号油滤堵塞,BOOL,0x,126,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号油气分离器堵塞,BOOL,0x,127,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号油精分堵塞,BOOL,0x,128,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号保养提醒时间到,BOOL,0x,129,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号主电机过电流,BOOL,0x,130,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号主电机电流缺相,BOOL,0x,131,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号主变频器通讯故障,BOOL,0x,132,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号风机过电流,BOOL,0x,133,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号风机缺相]风机缺相,BOOL,0x,134,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号主机变频器故障,BOOL,0x,135,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号风机变频器故障,BOOL,0x,136,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
2号空压机启动（联控取消有效）,BOOL,0x,310,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
2号空压机停机（联控取消有效）,BOOL,0x,311,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
2号空压机目标压力,16位无符号整数,4x,730,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机加载压力,16位无符号整数,4x,731,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机卸载压力,16位无符号整数,4x,732,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机目标温度,16位无符号整数,4x,733,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机启扇温度,16位无符号整数,4x,734,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机停扇温度,16位无符号整数,4x,735,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机上限频率,16位无符号整数,4x,736,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机下限频率,16位无符号整数,4x,737,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
2号空压机机型,BOOL,0x,1101,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
2号机上限负载率%,16位无符号整数,4x,1011,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
2号机下限负载率%,16位无符号整数,4x,1021,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
2号机联控开关,BOOL,0x,1002,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
3号空压机运行状态,16位无符号整数,4x,890,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号空压机排气压力,16位无符号整数,4x,892,变化上传,只读,Mpa,,默认分组,,无(原始数据),,0-12,,,,,,,
